定期券（回数券）ID,組合員番号,前受金額,学年,追加回数,合計申込回数,利用総額,利用回数,コース順位,全体順位,コース数
917601886 ,891760074279 ,220000,2年,,,120471,172,126,179,433
917601887 ,891760074350 ,140000,2年,,,58664,88,594,970,749
917601887 ,891760074376 ,140000,2年,,,69561,100,419,663,749
917601887 ,891760074422 ,140000,2年,,,58355,84,596,974,749
917601886 ,891760074449 ,220000,2年,,,98958,139,240,367,433
917601887 ,891760074481 ,140000,2年,,,76548,112,304,471,749
917601887 ,891760074503 ,140000,2年,,,51662,77,666,1093,749
917601886 ,891760074571 ,220000,2年,,,128422,167,48,71,433
917601886 ,891760074601 ,220000,2年,,,107507,155,205,306,433
917601887 ,891760074627 ,140000,2年,,,65330,96,496,795,749
917601885 ,891760074643 ,295000,2年,,,176278,248,3,3,57
917601886 ,891760074694 ,220000,2年,,,82531,138,283,428,433
917601886 ,891760074732 ,220000,2年,,,102588,172,226,343,433
917601887 ,891760074805 ,140000,2年,,,59612,77,579,941,749
917601886 ,891760074856 ,220000,2年,,,121395,143,118,168,433
917601887 ,891760074899 ,140000,2年,,,66823,94,472,750,749
917601887 ,891760074929 ,140000,2年,,,74713,100,333,511,749
917601887 ,891760075003 ,140000,2年,,,72777,95,370,569,749
917601887 ,891760075097 ,140000,2年,,,65217,89,500,801,749
917601887 ,891760075241 ,140000,2年,,,49519,86,678,1118,749
917601887 ,891760075291 ,140000,2年,,,75098,103,328,502,749
917601887 ,891760075313 ,140000,2年,,,72554,98,373,577,749
917601887 ,891760075372 ,140000,2年,,,72781,125,369,568,749
917601887 ,891760075429 ,140000,2年,,,73754,96,348,537,749
917601886 ,891760075488 ,220000,2年,,,115376,208,158,235,433
917601887 ,891760075631 ,140000,2年,,,68396,106,439,703,749
917601886 ,891760075666 ,220000,2年,,,125668,190,70,100,433
917601887 ,891760075682 ,140000,2年,,,73311,164,357,549,749
917601887 ,891760075739 ,140000,2年,,,69035,112,427,678,749
917601886 ,891760075933 ,220000,2年,,,103733,163,219,334,433
917601887 ,891760076042 ,140000,2年,,,61347,87,556,903,749
917601887 ,891760076069 ,140000,2年,,,52437,119,658,1079,749
917601886 ,891760076221 ,220000,2年,,,92768,130,262,396,433
917601887 ,891760076255 ,140000,2年,,,67884,173,451,718,749
917601887 ,891760076271 ,140000,2年,,,67353,102,457,731,749
917601887 ,891760076328 ,140000,2年,,,70291,126,406,638,749
917601887 ,891760076361 ,140000,2年,,,74554,97,336,519,749
917601886 ,891760076395 ,220000,2年,,,70689,121,402,627,433
917601887 ,891760076468 ,140000,2年,,,73156,97,359,552,749
917601887 ,891760076506 ,140000,2年,,,64525,88,508,813,749
917601887 ,891760076581 ,140000,2年,,,75627,103,321,492,749
917601887 ,891760076689 ,140000,2年,,,58948,83,593,960,749
917601886 ,891760076930 ,220000,2年,,,94289,130,256,388,433
917601887 ,891760077138 ,140000,2年,,,60642,80,564,915,749
917601887 ,891760077171 ,140000,2年,,,66848,127,471,749,749
917601886 ,891760077243 ,220000,2年,,,101894,155,231,351,433
917601887 ,891760077391 ,140000,2年,,,72252,92,381,587,749
917601887 ,891760077456 ,140000,2年,,,64370,93,515,823,749
917601887 ,891760077863 ,140000,2年,,,64283,88,517,826,749
917601887 ,891760077898 ,140000,2年,,,68954,137,431,682,749
917601887 ,891760077936 ,140000,2年,,,66220,86,484,767,749
917601886 ,891760077952 ,220000,2年,,,103931,134,218,332,433
917601887 ,891760078576 ,140000,2年,,,49520,73,677,1117,749
917601887 ,891760078720 ,140000,2年,,,55292,91,637,1038,749
917601886 ,891760078762 ,220000,2年,,,121981,170,112,157,433
917601886 ,891760078797 ,220000,2年,,,118694,169,138,198,433
917601887 ,891760078819 ,140000,2年,,,64409,125,513,820,749
917601887 ,891760078886 ,140000,2年,,,52018,71,661,1084,749
917601887 ,891760079114 ,140000,2年,,,75954,127,314,483,749
917601887 ,891760079211 ,140000,2年,,,58950,81,592,959,749
917601886 ,891760079891 ,220000,2年,,,113508,148,170,254,433
917601887 ,891760079980 ,140000,2年,,,72033,93,382,593,749
917601887 ,891760080112 ,140000,2年,,,63195,80,534,857,749
917601887 ,891760080279 ,140000,2年,,,60015,100,572,930,749
917601887 ,891760080457 ,140000,2年,,,55444,114,632,1030,749
917601887 ,891760080465 ,140000,2年,,,46942,91,692,1144,749
917601887 ,891760080546 ,140000,2年,,,51107,95,669,1100,749
917601886 ,891760084304 ,220000,1年,,,102385,139,227,346,433
917601887 ,891760084355 ,140000,1年,,,64376,96,514,821,749
917601887 ,891760084371 ,140000,1年,,,66933,118,467,745,749
917601887 ,891760084398 ,140000,1年,,,45634,86,700,1153,749
917601887 ,891760084444 ,140000,1年,,,55334,101,635,1034,749
917601887 ,891760084461 ,140000,1年,,,59441,84,582,944,749
917601886 ,891760084576 ,220000,1年,,,127061,203,62,88,433
917601887 ,891760084592 ,140000,1年,,,67677,122,454,724,749
917601887 ,891760084622 ,140000,1年,,,73672,123,351,541,749
917601886 ,891760084649 ,220000,1年,,,95667,156,251,382,433
917601887 ,891760084771 ,140000,1年,,,57727,92,605,990,749
917601886 ,891760084797 ,220000,1年,,,122230,182,109,154,433
917601886 ,891760084851 ,220000,1年,,,121054,168,119,170,433
917601887 ,891760084908 ,140000,1年,,,56375,100,623,1016,749
917601886 ,891760084941 ,220000,1年,,,121723,202,113,161,433
917601887 ,891760084991 ,140000,1年,,,75684,113,320,491,749
917601887 ,891760085017 ,140000,1年,,,63746,164,522,837,749
917601886 ,891760085041 ,220000,1年,,,120902,174,122,175,433
917601887 ,891760085092 ,140000,1年,,,76539,128,305,472,749
917601886 ,891760085122 ,220000,1年,,,127575,182,58,84,433
917601886 ,891760085165 ,220000,1年,,,108735,136,198,295,433
917601886 ,891760085190 ,220000,1年,,,112893,185,174,258,433
917601885 ,891760085211 ,295000,1年,,,147875,226,20,32,57
917601886 ,891760085238 ,220000,1年,,,82731,123,282,427,433
917601887 ,891760085254 ,140000,1年,,,62829,89,538,863,749
917601886 ,891760085271 ,220000,1年,,,79938,122,288,436,433
917601887 ,891760085327 ,140000,1年,,,71596,101,387,603,749
917601887 ,891760085351 ,140000,1年,,,63818,118,521,835,749
917601887 ,891760085378 ,140000,1年,,,32553,67,735,1216,749
917601886 ,891760085394 ,220000,1年,,,98326,115,242,370,433
917601886 ,891760085441 ,220000,1年,,,118541,175,139,199,433
917601887 ,891760085483 ,140000,1年,,,59136,110,590,957,749
917601887 ,891760085530 ,140000,1年,,,63706,87,524,839,749
917601886 ,891760085556 ,220000,1年,,,119824,201,131,185,433
917601887 ,891760085700 ,140000,1年,,,75694,151,319,490,749
917601886 ,891760085742 ,220000,1年,,,99200,132,238,365,433
917601885 ,891760085777 ,295000,1年,,,152230,213,16,25,57
917601886 ,891760085815 ,220000,1年,,,128574,164,46,69,433
917601887 ,891760085840 ,140000,1年,,,52249,103,659,1080,749
917601887 ,891760085858 ,140000,1年,,,69883,92,415,654,749
917601886 ,891760085882 ,220000,1年,,,112487,107,178,262,433
917601887 ,891760086030 ,140000,1年,,,68984,97,430,681,749
917601887 ,891760086072 ,140000,1年,,,56919,89,614,1004,749
917601887 ,891760086188 ,140000,1年,,,66782,121,474,752,749
917601886 ,891760086391 ,220000,1年,,,111088,189,188,280,433
917601887 ,891760086480 ,140000,1年,,,63821,95,520,834,749
917601887 ,891760086501 ,140000,1年,,,59213,120,586,951,749
917601886 ,891760086528 ,220000,1年,,,95777,146,250,381,433
917601886 ,891760086587 ,220000,1年,,,112544,168,176,260,433
917601887 ,891760086684 ,140000,1年,,,67068,99,465,743,749
917601886 ,891760086722 ,220000,1年,,,123914,180,86,122,433
917601887 ,891760086803 ,140000,1年,,,55384,86,633,1031,749
917601887 ,891760086862 ,140000,1年,,,55077,76,638,1041,749
917601887 ,891760086897 ,140000,1年,,,57401,86,607,994,749
917601886 ,891760086919 ,220000,1年,,,98069,115,244,373,433
917601887 ,891760086951 ,140000,大学院生,,,75101,99,327,501,749
917601886 ,891760087001 ,220000,1年,,,104907,146,214,325,433
917601887 ,891760087028 ,140000,1年,,,42955,74,714,1177,749
917601887 ,891760087117 ,140000,1年,,,59782,103,576,936,749
917601887 ,891760087133 ,140000,1年,,,71522,157,390,607,749
917601886 ,891760087176 ,220000,1年,,,85161,137,277,421,433
917601886 ,891760087257 ,220000,1年,,,35186,43,732,1207,433
917601887 ,891760087273 ,140000,1年,,,67069,127,463,741,749
917601886 ,891760087371 ,220000,1年,,,72923,78,364,559,433
917601887 ,891760087419 ,140000,1年,,,65662,131,492,783,749
917601887 ,891760087443 ,140000,1年,,,62767,113,540,866,749
917601887 ,891760087478 ,140000,1年,,,56648,78,618,1008,749
917601886 ,891760087532 ,220000,1年,,,75729,126,316,487,433
917601887 ,891760087583 ,140000,1年,,,48261,77,686,1132,749
917601886 ,891760087605 ,220000,1年,,,58164,78,597,975,433
917601886 ,891760087630 ,220000,1年,,,123797,195,89,125,433
917601887 ,891760087681 ,140000,1年,,,53547,78,652,1068,749
917601887 ,891760087702 ,140000,1年,,,71824,179,384,598,749
917601885 ,891760087761 ,295000,1年,,,152346,250,15,24,57
917601886 ,891760087958 ,220000,1年,,,110660,174,192,287,433
917601887 ,891760088059 ,140000,1年,,,60726,84,562,913,749
917601887 ,891760088083 ,140000,1年,,,28632,53,737,1220,749
917601887 ,891760088334 ,140000,1年,,,70981,139,397,620,749
917601886 ,891760088377 ,220000,1年,,,116759,197,150,222,433
917601887 ,891760088407 ,140000,1年,,,45639,63,699,1152,749
917601886 ,891760088563 ,220000,1年,,,97366,135,245,374,433
917601887 ,891760088580 ,140000,1年,,,39177,62,727,1197,749
917601887 ,891760088679 ,140000,1年,,,51486,93,667,1096,749
917601886 ,891760088768 ,220000,1年,,,107221,194,206,308,433
917601886 ,891760088881 ,220000,1年,,,109833,169,194,291,433
917601887 ,891760088903 ,140000,1年,,,54937,73,639,1043,749
917601887 ,891760088997 ,140000,1年,,,46143,60,697,1149,749
917601886 ,891760089039 ,220000,1年,,,106608,216,210,313,433
,,,#N/A,,,,,750,1239,0
917601887,8.9176E+11,140000,1年,,,54887,87,642,1046,749
917601886,8.9176E+11,220000,1年,,,116199,160,155,228,433
917601887,8.9176E+11,140000,1年,,,61405,115,555,899,749
917601886,8.9176E+11,220000,1年,,,124708,185,78,109,433
917601887,8.9176E+11,140000,1年,,,70222,113,407,640,749
917601887,8.9176E+11,140000,1年,,,62252,106,547,876,749
917601886,8.9176E+11,220000,1年,,,110761,185,190,284,433
917601887,8.9176E+11,140000,1年,,,67069,100,463,741,749
917601886,8.9176E+11,220000,1年,,,123498,176,94,130,433
917601886,8.9176E+11,220000,1年,,,112478,178,179,263,433
917601886,8.9176E+11,220000,1年,,,127273,198,59,85,433
917601886,8.9176E+11,220000,1年,,,110400,181,193,288,433
917601887,8.9176E+11,140000,1年,,,69078,145,426,676,749
917601886,8.9176E+11,220000,1年,,,106813,158,209,311,433
917601887,8.9176E+11,140000,1年,,,35332,65,731,1205,749
917601886,8.9176E+11,220000,1年,,,113060,154,173,257,433
917601887,8.9176E+11,140000,1年,,,39343,93,726,1196,749
917601886,8.9176E+11,220000,1年,,,124550,180,80,113,433
917601886,8.9176E+11,220000,1年,,,113675,198,166,250,433
917601887,8.9176E+11,140000,1年,,,76168,98,312,481,749
917601887,8.9176E+11,140000,1年,,,63252,90,532,855,749
917601887,8.9176E+11,140000,1年,,,75350,131,325,496,749
917601885,8.9176E+11,295000,1年,,,178200,271,1,1,57
917601886,8.9176E+11,220000,1年,,,102928,185,223,338,433
917601887,8.9176E+11,140000,1年,,,59162,85,588,954,749
917601887,8.9176E+11,140000,1年,,,59239,88,584,949,749
917601887,8.9176E+11,140000,1年,,,65129,113,504,805,749
917601885,8.9176E+11,295000,1年,,,130434,202,32,53,57
917601887,8.9176E+11,140000,1年,,,72448,131,376,580,749
917601887,8.9176E+11,140000,1年,,,62643,82,542,869,749
917601886,8.9176E+11,220000,1年,,,68335,127,441,705,433
917601885,8.9176E+11,295000,1年,,,123391,161,95,131,57
917601887,8.9176E+11,140000,1年,,,52833,78,655,1074,749
917601887,8.9176E+11,140000,1年,,,62505,93,546,873,749
917601887,8.9176E+11,140000,1年,,,75913,148,315,484,749
917601887,8.9176E+11,140000,1年,,,72535,166,374,578,749
917601887,8.9176E+11,140000,1年,,,66902,88,470,748,749
917601886,8.9176E+11,220000,1年,,,99258,116,237,364,433
917601887,8.9176E+11,140000,1年,,,50045,73,675,1114,749
917601887,8.9176E+11,140000,1年,,,69747,130,417,657,749
917601886,8.9176E+11,220000,1年,,,128565,193,47,70,433
917601886,8.9176E+11,220000,1年,,,117203,170,145,211,433
917601887,8.9176E+11,140000,1年,,,61783,121,551,887,749
917601887,8.9176E+11,140000,1年,,,63641,134,526,842,749
917601887,8.9176E+11,140000,1年,,,66986,104,466,744,749
917601886,8.9176E+11,220000,1年,,,78770,108,292,443,433
917601886,8.9176E+11,220000,1年,,,121647,183,115,163,433
917601886,8.9176E+11,220000,1年,,,62184,85,548,882,433
917601886,8.9176E+11,220000,1年,,,122805,198,104,143,433
917601886,8.9176E+11,220000,1年,,,108162,167,202,301,433
917601886,8.9176E+11,220000,1年,,,117258,176,143,209,433
